Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
Failed,,,1471,2645,1701,0.664,0.886,3.9,str('t-test'),str('bounded'),30
Failed,,,2528,153,2676,0.301,0.052,9.894,str('ks-test'),str('bounded'),18
Failed,,,3774,3755,1202,0.882,0.343,6.771,str('t-test'),str('bounded'),5
Failed,,,82,1538,1196,0.232,0.432,0.774,str('t-test'),str('bounded'),22
Failed,,,1141,4601,2438,0.018,0.331,4.123,str('ks-test'),str('bounded'),26
Failed,,,4694,2093,3187,0.88,0.728,9.651,str('t-test'),str('bounded'),16
Failed,,,3440,3376,437,0.299,0.875,6.525,str('ks-test'),str('bounded'),3
Failed,,,2286,671,447,0.589,0.847,1.0,str('ks-test'),str('bounded'),24
Failed,,,2305,3169,1812,0.149,0.612,9.914,str('t-test'),str('bounded'),1
Failed,,,3747,676,2563,0.762,0.447,3.882,str('ks-test'),str('bounded'),40
Failed,,,4992,4481,1062,0.43,0.158,2.005,str('t-test'),str('bounded'),28
Failed,,,1048,1989,4565,0.543,0.773,6.791,str('ks-test'),str('bounded'),13
Failed,,,234,3769,3287,0.704,0.984,8.422,str('t-test'),str('bounded'),35
Failed,,,3785,1258,2338,0.318,0.072,2.855,str('ks-test'),str('bounded'),20
Failed,,,2532,2650,3806,0.985,0.284,0.982,str('t-test'),str('bounded'),8
Failed,,,1479,137,571,0.1,0.65,5.296,str('ks-test'),str('bounded'),47
Failed,,,1741,4788,4321,0.271,0.395,6.993,str('t-test'),str('bounded'),36
Failed,,,2876,2296,54,0.626,0.543,1.782,str('ks-test'),str('bounded'),25
Failed,,,4130,3486,3588,0.053,0.818,4.903,str('t-test'),str('bounded'),13
Failed,,,350,2258,2638,0.009,0.009,0.407,str('t-test'),str('bounded'),5
Failed,,,931,4193,3886,0.245,0.234,4.381,str('ks-test'),str('bounded'),50
Failed,,,4484,1681,491,0.857,0.835,9.325,str('t-test'),str('bounded'),11
Failed,,,3239,2852,3368,0.464,0.559,7.447,str('ks-test'),str('bounded'),24
Failed,,,2018,1565,3064,0.478,0.372,7.862,str('ks-test'),str('bounded'),19
Failed,,,2043,4344,189,0.956,0.803,0.514,str('ks-test'),str('bounded'),31
Failed,,,3179,1855,4185,0.064,0.14,5.764,str('t-test'),str('bounded'),17
Failed,,,4432,2989,1938,0.738,0.473,7.642,str('ks-test'),str('bounded'),4
Failed,,,797,502,3689,0.344,0.59,3.635,str('t-test'),str('bounded'),44
Failed,,,440,3684,4945,0.404,0.676,1.536,str('ks-test'),str('bounded'),10
Failed,,,4310,1177,680,0.509,0.262,7.261,str('t-test'),str('bounded'),50
Failed,,,3066,4919,2964,0.185,0.101,9.133,str('ks-test'),str('bounded'),38
Failed,,,1697,2411,1414,0.789,0.967,4.664,str('t-test'),str('bounded'),23
Failed,,,1337,2682,2662,0.586,0.205,2.65,str('ks-test'),str('bounded'),9
Failed,,,2781,195,1713,0.45,0.851,8.644,str('t-test'),str('bounded'),44
Failed,,,4024,4026,4431,0.867,0.502,5.521,str('ks-test'),str('bounded'),32
Failed,,,993,3336,2884,0.927,0.417,5.038,str('t-test'),str('bounded'),20
Failed,,,4862,829,1494,0.035,0.519,1.188,str('ks-test'),str('bounded'),34
Failed,,,3608,4642,4864,0.647,0.868,3.065,str('t-test'),str('bounded'),46
Failed,,,2238,2134,761,0.253,0.19,8.16,str('ks-test'),str('bounded'),8
Failed,,,2388,870,3940,0.661,0.056,2.25,str('t-test'),str('bounded'),38
Failed,,,2449,4443,3508,0.811,0.636,0.811,str('ks-test'),str('bounded'),46
Failed,,,3584,1951,2119,0.168,0.3,5.398,str('t-test'),str('bounded'),9
Failed,,,4828,3207,4239,0.531,0.089,8.525,str('ks-test'),str('bounded'),21
Failed,,,1193,714,136,0.386,0.969,2.684,str('t-test'),str('bounded'),33
Failed,,,64,2534,1390,0.366,0.759,2.459,str('ks-test'),str('bounded'),15
Failed,,,3934,22,2988,0.721,0.174,6.269,str('t-test'),str('bounded'),26
Failed,,,2680,3885,889,0.085,0.464,9.392,str('ks-test'),str('bounded'),39
Failed,,,1311,1373,4735,0.939,0.597,4.336,str('t-test'),str('bounded'),2
Failed,,,1596,3524,986,0.675,0.357,3.534,str('ks-test'),str('bounded'),17
Failed,,,3040,1031,4641,0.289,0.708,7.691,str('t-test'),str('bounded'),30
Failed,,,4293,4750,1737,0.894,0.936,5.819,str('ks-test'),str('bounded'),43
Failed,,,2820,725,1882,0.54,0.016,5.852,str('t-test'),str('bounded'),15
Failed,,,4064,4432,4164,0.154,0.349,7.729,str('ks-test'),str('bounded'),3
Failed,,,511,1921,211,0.758,0.715,3.567,str('t-test'),str('bounded'),39
Failed,,,712,3896,1470,0.989,0.552,1.292,str('ks-test'),str('bounded'),9
Failed,,,2188,339,2257,0.577,0.381,1.259,str('t-test'),str('bounded'),37
Failed,,,1880,3108,4511,0.113,0.952,8.923,str('t-test'),str('bounded'),24
Failed,,,3322,620,1116,0.975,0.118,4.805,str('ks-test'),str('bounded'),36
Failed,,,4576,4225,2743,0.332,0.279,1.677,str('t-test'),str('bounded'),48
