Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
Failed,,,1548,2223,1269,0.599,0.634,8.428,str('t-test'),str('bounded'),46
Failed,,,4751,4619,3293,0.332,0.259,1.742,str('ks-test'),str('bounded'),9
Failed,,,4097,1842,3821,0.449,0.464,3.691,str('t-test'),str('bounded'),40
Failed,,,2144,3828,859,0.747,0.589,6.46,str('ks-test'),str('bounded'),3
Failed,,,1064,800,3080,0.171,0.991,9.982,str('t-test'),str('bounded'),13
Failed,,,2704,3542,2300,0.898,0.118,0.182,str('ks-test'),str('bounded'),26
Failed,,,2680,304,2824,0.058,0.341,2.532,str('ks-test'),str('bounded'),31
Failed,,,1039,2857,2362,0.762,0.715,7.339,str('t-test'),str('bounded'),18
Failed,,,4119,4465,759,0.603,0.235,1.021,str('t-test'),str('bounded'),41
Failed,,,4696,1693,1521,0.735,0.036,4.102,str('ks-test'),str('bounded'),11
Failed,,,1492,3967,3237,0.445,0.909,5.775,str('t-test'),str('bounded'),48
Failed,,,463,626,390,0.894,0.515,7.852,str('ks-test'),str('bounded'),36
Failed,,,3353,3706,4913,0.159,0.39,1.96,str('t-test'),str('bounded'),24
Failed,,,3547,2136,101,0.419,0.663,0.049,str('ks-test'),str('bounded'),9
Failed,,,187,4706,4635,0.651,0.289,9.769,str('t-test'),str('bounded'),46
Failed,,,1609,547,1780,0.198,0.137,6.281,str('ks-test'),str('bounded'),32
Failed,,,4656,2623,3506,0.999,0.761,3.592,str('t-test'),str('bounded'),20
Failed,,,4002,1026,4228,0.85,0.96,1.605,str('ks-test'),str('bounded'),26
Failed,,,2205,3317,940,0.08,0.087,8.209,str('t-test'),str('bounded'),14
Failed,,,842,1306,2623,0.502,0.489,5.35,str('ks-test'),str('bounded'),2
Failed,,,2951,4364,2152,0.302,0.614,4.526,str('t-test'),str('bounded'),40
Failed,,,3055,1414,4486,0.92,0.206,8.674,str('t-test'),str('bounded'),1
Failed,,,634,4179,270,0.15,0.829,1.451,str('ks-test'),str('bounded'),39
Failed,,,2415,1231,3665,0.699,0.747,4.999,str('t-test'),str('bounded'),27
Failed,,,3900,3190,1640,0.498,0.373,5.191,str('ks-test'),str('bounded'),15
Failed,,,4476,342,1114,0.349,0.421,9.619,str('t-test'),str('bounded'),34
Failed,,,1742,2750,4074,0.581,0.546,0.512,str('ks-test'),str('bounded'),21
Failed,,,57,2029,2008,0.001,0.877,3.429,str('t-test'),str('bounded'),7
Failed,,,3729,4892,2787,0.802,0.003,6.755,str('ks-test'),str('bounded'),44
Failed,,,3141,831,2189,0.555,0.791,6.249,str('t-test'),str('bounded'),35
Failed,,,564,3579,2977,0.265,0.167,3.939,str('ks-test'),str('bounded'),23
Failed,,,1389,1801,903,0.841,0.257,2.424,str('t-test'),str('bounded'),12
Failed,,,4905,3782,3875,0.106,0.631,7.703,str('ks-test'),str('bounded'),49
Failed,,,1985,4651,1353,0.942,0.458,3.005,str('ks-test'),str('bounded'),43
Failed,,,1218,99,4754,0.397,0.12,0.868,str('t-test'),str('bounded'),29
Failed,,,2546,2984,529,0.656,0.993,9.262,str('ks-test'),str('bounded'),16
Failed,,,2607,2450,1804,0.782,0.394,7.631,str('t-test'),str('bounded'),24
Failed,,,1123,4391,3520,0.024,0.518,2.205,str('ks-test'),str('bounded'),36
Failed,,,1929,230,48,0.567,0.935,3.854,str('t-test'),str('bounded'),50
Failed,,,4351,2939,4571,0.362,0.062,5.999,str('ks-test'),str('bounded'),13
Failed,,,4927,709,2521,0.479,0.233,9.196,str('t-test'),str('bounded'),44
Failed,,,546,1620,4360,0.14,0.688,2.914,str('t-test'),str('bounded'),17
Failed,,,3281,4050,1081,0.93,0.314,6.943,str('ks-test'),str('bounded'),30
Failed,,,3629,620,3945,0.679,0.603,5.104,str('t-test'),str('bounded'),39
Failed,,,114,2540,657,0.377,0.478,4.747,str('ks-test'),str('bounded'),2
Failed,,,1836,2053,2965,0.955,0.069,1.381,str('t-test'),str('bounded'),16
Failed,,,4415,4779,2494,0.224,0.942,8.457,str('ks-test'),str('bounded'),28
Failed,,,3760,1379,404,0.122,0.771,6.665,str('t-test'),str('bounded'),22
Failed,,,2433,4281,4938,0.822,0.148,3.192,str('ks-test'),str('bounded'),35
Failed,,,768,942,1457,0.275,0.308,0.445,str('t-test'),str('bounded'),45
Failed,,,2817,1147,811,0.178,0.032,3.657,str('ks-test'),str('bounded'),47
Failed,,,864,3262,3771,0.878,0.905,6.512,str('t-test'),str('bounded'),10
Failed,,,2344,1486,2330,0.454,0.55,9.859,str('ks-test'),str('bounded'),20
Failed,,,3984,4095,3109,0.725,0.425,0.287,str('t-test'),str('bounded'),33
Failed,,,4561,1945,4769,0.623,0.345,4.597,str('ks-test'),str('bounded'),14
Failed,,,1670,4964,553,0.321,0.719,5.568,str('t-test'),str('bounded'),27
Failed,,,288,415,3323,0.776,0.824,8.294,str('ks-test'),str('bounded'),41
Failed,,,3491,2667,1298,0.045,0.2,1.855,str('t-test'),str('bounded'),3
Failed,,,3371,1727,3688,0.285,0.972,1.111,str('ks-test'),str('bounded'),19
Failed,,,324,3864,1656,0.521,0.098,9.034,str('t-test'),str('bounded'),32
