Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.91,0,5000,1106,0.001,0.05,False,False
Completed,0.91,0,2075,2220,0.001,0.05,False,False
Completed,0.91,0,1,2543,10.0,0.05,False,False
Completed,0.91,0,2069,1833,0.001,0.0,True,False
Completed,0.91,1,1229,1440,10.0,0.0,True,False
Completed,0.91,1,5000,928,10.0,0.05,True,False
Completed,0.91,0,5000,716,0.001,0.05,True,False
Completed,0.91,0,5000,3901,10.0,0.0,True,False
Completed,0.91,0,5000,195,0.001,0.046,False,False
Completed,0.91,0,5000,2415,0.001,0.0,False,False
Completed,0.91,0,5000,2787,10.0,0.0,False,False
Completed,0.91,0,3210,4759,10.0,0.0,True,False
Completed,0.91,0,5000,372,0.001,0.05,False,False
Completed,0.91,0,5000,813,6.789,0.0,False,False
Completed,0.91,0,1,670,0.001,0.0,False,False
Completed,0.91,1,1,1677,10.0,0.0,True,False
Completed,0.91,0,5000,4822,0.001,0.0,True,False
Completed,0.91,0,1,2325,0.001,0.05,False,False
Completed,0.91,0,1,4438,10.0,0.05,True,False
Completed,0.91,1,1,429,10.0,0.0,True,False
Completed,0.91,0,1,1841,10.0,0.05,False,False
Completed,0.91,0,1,444,0.001,0.0,False,False
Completed,0.91,0,1,1151,0.001,0.0,False,False
Completed,0.91,0,1,2832,0.001,0.05,True,False
Completed,0.91,0,2296,4174,3.434,0.0,True,False
Completed,0.91,0,1,4073,0.001,0.0,True,False
Completed,0.91,1,5000,2967,10.0,0.0,True,False
Completed,0.91,1,5000,3571,4.933,0.0,True,False
Completed,0.91,0,1,1257,0.001,0.05,True,False
Completed,0.91,0,1,1142,10.0,0.05,False,False
Completed,0.91,0,1,4840,5.24,0.0,False,False
Completed,0.91,0,5000,1601,4.426,0.0,False,False
Completed,0.91,0,5000,4639,0.001,0.0,False,False
Completed,0.91,0,1,3702,3.955,0.05,True,False
Completed,0.91,0,5000,3590,10.0,0.05,True,False
Completed,0.91,0,1,3735,4.75,0.05,False,False
Completed,0.91,0,5000,3743,4.812,0.05,False,False
Completed,0.91,0,5000,4850,0.001,0.05,False,False
Completed,0.91,0,1,3060,10.0,0.0,False,False
Completed,0.91,0,1,539,3.415,0.05,False,False
Completed,0.91,0,1458,499,0.001,0.05,False,False
Completed,0.91,1,5000,816,4.571,0.0,True,False
Completed,0.91,0,5000,1855,5.722,0.0,False,False
Completed,0.91,0,5000,3737,6.485,0.0,False,False
Completed,0.91,1,1,530,4.831,0.05,True,False
Completed,0.91,1,1,2959,10.0,0.05,True,False
