Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.92,1718,1249,150,1.808,0.012,True,True
Completed,0.19,25,258,2686,7.751,0.001,False,False
Completed,0.67,35,1371,172,1.199,0.028,False,False
Completed,0.19,21,2004,4582,4.611,0.033,False,False
Completed,0.19,23,891,2098,6.827,0.009,False,False
Completed,0.92,2988,3421,327,7.096,0.035,False,True
Completed,0.68,51,573,3581,0.7,0.009,False,False
Completed,0.19,25,1687,1066,7.857,0.032,False,False
Completed,0.19,22,2323,4154,6.311,0.027,False,False
Completed,0.19,25,1210,1669,4.739,0.002,False,False
Completed,0.71,31,3184,1796,1.078,0.014,False,False
Completed,0.84,257,3593,24,0.535,0.048,True,False
Completed,0.19,21,1214,3672,9.491,0.042,False,False
Completed,0.65,28,2288,1138,1.649,0.018,False,False
Completed,0.53,24,1673,4222,2.603,0.023,False,False
Completed,0.91,4646,3752,465,7.675,0.027,True,True
Completed,0.19,30,599,1756,6.029,0.049,False,False
Completed,0.19,23,2080,2161,7.28,0.038,False,False
Completed,0.19,33,1461,2749,8.24,0.045,False,False
Completed,0.76,42,36,265,0.4,0.02,False,False
Completed,0.39,33,3109,79,4.099,0.008,False,False
Completed,0.19,24,4144,2544,6.882,0.034,False,False
Completed,0.19,24,4778,1878,8.458,0.025,False,False
Completed,0.77,63,3743,4412,0.011,0.003,False,False
Completed,0.19,27,2801,1208,7.477,0.002,False,False
Completed,0.19,21,3836,3673,4.049,0.026,False,False
Completed,0.8,38,4471,1840,0.589,0.034,False,False
Completed,0.91,3967,362,365,2.047,0.003,False,True
Completed,0.91,12786,973,591,8.416,0.048,False,True
Completed,0.19,24,3506,1991,7.973,0.021,False,False
Completed,0.76,51,4854,4455,0.816,0.045,False,False
Completed,0.37,28,4234,123,4.862,0.04,False,False
Completed,0.19,22,2886,2656,6.435,0.013,False,False
Completed,0.19,36,346,1002,8.662,0.015,False,False
Completed,0.23,22,357,4334,3.361,0.03,False,False
Completed,0.92,2304,2470,228,7.195,0.025,True,True
Completed,0.19,24,4079,1533,9.185,0.046,False,False
Completed,0.19,21,2529,2895,7.515,0.026,False,False
Completed,0.89,2049,3609,6,7.783,0.04,True,True
Completed,0.19,27,2877,477,5.682,0.015,False,False
Completed,0.75,48,143,2287,0.299,0.03,False,False
Completed,0.19,28,999,3761,4.556,0.032,False,False
Completed,0.19,26,2158,4280,7.081,0.02,False,False
Completed,0.19,21,4532,4262,7.63,0.04,False,False
Completed,0.91,5829,2455,422,2.725,0.01,True,True
Completed,0.19,24,3921,1095,6.718,0.044,False,False
Completed,0.19,24,2574,3630,4.502,0.022,False,False
Completed,0.91,11455,4546,420,6.298,0.018,False,True
Completed,0.19,21,654,4675,3.852,0.016,False,False
Completed,0.19,22,4011,3740,5.712,0.024,False,False
Completed,0.77,48,3356,2113,0.346,0.042,False,False
Completed,0.19,46,4865,214,8.791,0.014,False,False
Completed,0.91,7341,2313,466,0.745,0.021,False,True
Completed,0.19,26,2129,2027,4.682,0.03,False,False
Completed,0.19,28,1130,3492,3.709,0.019,False,False
Completed,0.19,28,2497,817,8.556,0.035,False,False
Completed,0.92,991,1415,71,1.2,0.025,True,True
Completed,0.92,2695,172,247,7.781,0.047,False,True
Completed,0.82,600,1240,759,0.102,0.013,True,False
Completed,0.19,21,3436,4374,8.429,0.007,False,False
Completed,0.91,5063,1140,319,3.17,0.042,True,True
Completed,0.19,21,959,4091,7.073,0.019,False,False
Completed,0.91,11278,3218,602,2.031,0.03,True,True
Completed,0.53,24,2384,1576,4.291,0.046,False,False
Completed,0.75,49,1772,3488,0.215,0.039,False,False
Completed,0.22,23,3618,4577,3.453,0.044,False,False
Completed,0.91,1161,775,17,3.996,0.006,False,True
Completed,0.19,23,4300,4488,4.338,0.029,False,False
Completed,0.43,36,3702,123,3.111,0.03,False,False
Completed,0.73,40,978,1420,0.976,0.028,False,False
Completed,0.19,22,155,4326,4.911,0.033,False,False
Completed,0.19,34,1710,407,9.465,0.015,False,False
Completed,0.19,34,1870,1574,7.988,0.012,False,False
Completed,0.8,540,4710,1065,0.39,0.011,True,False
Completed,0.6,35,2263,4894,1.791,0.013,False,False
Completed,0.19,21,3065,1978,7.245,0.005,False,False
Completed,0.59,40,4027,76,3.151,0.028,False,False
Completed,0.19,37,523,2581,4.95,0.003,False,False
Completed,0.64,28,2485,4606,1.516,0.019,False,False
Completed,0.57,28,1474,1843,3.358,0.019,False,False
Completed,0.73,55,4299,2808,0.068,0.013,False,False
