Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.55,19,2600,1334,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.84,3405,2719,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,100,3570,217,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,148,5000,168,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.84,2803,2499,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,2314,2437,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,204,4639,115,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,148,4468,162,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,250,4185,92,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,52,2088,47,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
