Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.73,744,4368,24,0.314,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,11,2395,2535,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,133,2668,29,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,14,2487,1240,0.078,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,17,3345,1442,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,542,1442,23,0.531,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,36,4145,530,0.174,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,13,1,14,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,568,3142,16,0.527,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,19,5000,1193,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,282,1974,47,0.351,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,23,5000,843,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,73,3168,100,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,92,1470,101,0.537,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,199,4956,64,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,15,4541,2156,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,706,5000,16,0.677,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,107,1741,101,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,18,2024,22,0.249,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,23,5000,375,0.604,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,16,5000,1459,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,179,5000,76,0.41,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,118,1270,73,0.404,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,47,5000,318,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,21,4570,977,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,14,2028,47,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,319,5000,25,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,17,5000,1672,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,268,1171,27,0.079,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,19,5000,541,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,25,4369,676,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.61,51,5000,3982,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,14,4495,2286,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,13,3043,2150,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,47,4920,304,0.399,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,63,2611,69,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,236,1457,38,0.422,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,99,2943,66,0.476,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,15,5000,1769,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,27,3308,406,0.423,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,14,3456,1886,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,17,82,64,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,12,2026,102,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,428,3116,9,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,12,1,11,0.321,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,132,5000,100,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,128,2606,33,0.408,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,45,2623,101,0.723,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,21,5000,1050,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,15,2307,331,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,851,1954,14,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,283,5000,51,0.641,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.6,21,5000,629,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,229,1407,54,0.264,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,317,2534,10,0.396,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.65,17,5000,355,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,148,5000,107,0.638,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,24,4221,895,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
