Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.04,69,1951,18,277,1777,114
Completed,0.06,175,1340,14,479,657,10
Completed,0.04,330,1466,16,54,1428,5
Completed,0.05,32,947,17,137,873,69
Completed,0.04,21,223,0,369,142,26
Completed,0.06,58,1139,14,408,1068,137
Completed,0.04,23,1315,18,203,1113,225
Completed,0.04,16,834,16,113,680,164
Completed,0.04,96,1807,7,167,1606,53
Completed,0.04,34,1416,4,89,960,75
Completed,0.04,73,1879,3,484,1062,100
Completed,0.04,31,1574,19,257,1421,355
Completed,0.05,37,1562,13,233,603,64
Completed,0.04,36,1271,10,280,380,28
Completed,0.04,33,1856,15,371,901,203
Completed,0.06,23,1710,5,119,1450,228
Completed,0.04,20,1893,1,157,1758,358
Completed,0.04,112,1366,0,434,1365,63
Completed,0.04,32,517,3,294,464,67
Completed,0.04,83,1621,10,490,1265,206
Completed,0.04,18,1762,0,88,1700,390
Completed,0.04,46,1477,2,315,1172,218
Completed,0.04,51,1251,20,460,771,117
Completed,0.04,13,1542,2,37,243,43
Completed,0.04,43,998,0,500,621,154
Completed,0.05,295,1891,13,289,1670,13
Completed,0.06,42,865,12,452,297,23
Completed,0.04,55,1776,4,272,1495,132
Completed,0.06,11,1656,14,20,918,158
Completed,0.05,54,1987,17,378,594,46
Completed,0.06,21,1882,12,102,1399,256
Completed,0.04,159,1570,7,126,1009,9
Completed,0.06,82,1100,5,301,969,34
Completed,0.04,95,1741,1,444,1589,86
Completed,0.04,12,4458,18,52,1194,279
Completed,0.04,35,1833,7,230,1345,219
Completed,0.05,40,1308,17,439,1070,254
Completed,0.04,73,1967,16,214,1552,84
Completed,0.04,30,1327,11,43,890,47
Completed,0.05,22,448,17,101,249,24
Completed,0.04,34,1413,10,187,1043,132
Completed,0.06,28,1883,8,262,940,169
Completed,0.04,26,593,6,205,315,27
Completed,0.04,16,1549,18,10,1395,136
Completed,0.04,38,1670,6,367,1491,259
Completed,0.04,379,1845,11,406,1101,6
Completed,0.04,32,1713,1,154,549,35
Completed,0.06,31,1644,8,344,666,121
Completed,0.04,21,1436,15,145,320,39
Completed,0.04,19,1719,3,136,1356,329
Completed,0.04,32,1796,19,97,1246,92
Completed,0.08,40,4348,9,208,1440,175
Completed,0.08,43,3564,9,256,1844,331
Completed,0.04,80,1611,16,267,737,24
Completed,0.04,18,1339,2,222,281,67
Completed,0.04,30,1947,6,19,1161,62
Completed,0.04,32,1506,11,245,1301,301
Completed,0.04,118,1473,6,413,826,21
Completed,0.04,39,1262,15,300,1227,185
Completed,0.04,113,1864,0,336,1740,109
Completed,0.04,12,1179,4,48,687,152
Completed,0.04,73,1979,2,420,1800,141
Completed,0.06,51,1865,14,204,1829,264
Completed,0.05,113,1394,13,449,1295,90
Completed,0.04,27,1039,2,197,870,120
Completed,0.06,68,1506,5,373,1143,79
Completed,0.06,26,1148,8,387,291,42
Completed,0.04,21,1934,15,125,692,116
Completed,0.04,12,805,20,51,426,77
Completed,0.04,81,1809,16,410,1455,121
Completed,0.05,17,1608,13,52,1033,239
Completed,0.05,30,1059,13,2,479,18
Completed,0.04,41,1772,10,487,508,76
Completed,0.06,12,1846,5,25,1439,350
Completed,0.04,40,1670,20,235,1079,105
Completed,0.06,53,1998,12,351,1409,224
Completed,0.04,21,1568,1,99,988,190
Completed,0.08,57,794,9,246,787,37
Completed,0.04,36,1105,0,454,1029,227
Completed,0.04,58,1128,18,318,930,65
Completed,0.08,68,1966,9,342,1893,304
Completed,0.04,125,1517,15,428,1503,59
Completed,0.04,44,1650,2,380,1335,174
Completed,0.04,40,739,11,341,378,32
Completed,0.05,22,1784,13,131,752,148
Completed,0.04,152,4977,2,390,1174,18
Completed,0.04,2309,1451,18,492,1149,35
Completed,0.04,128,1969,20,66,861,9
Completed,0.08,101,1589,9,314,1288,46
Completed,0.04,47,1894,15,416,1179,285
Completed,0.04,21,1494,4,129,1405,243
Completed,0.06,55,686,5,415,663,53
Completed,0.04,72,1704,19,360,1613,161
Completed,0.04,38,1064,15,377,946,217
Completed,0.05,12,1267,17,23,558,80
Completed,0.04,99,1555,0,474,460,14
Completed,0.04,57,1165,7,271,1107,117
Completed,0.06,11,1575,5,14,1516,288
Completed,0.04,110,1878,10,226,1875,43
Completed,0.04,11,983,3,62,833,183
Completed,0.06,27,1632,5,158,880,92
Completed,0.05,96,1420,13,331,104,2
Completed,0.04,40,1934,1,144,1710,144
Completed,0.04,30,861,4,195,642,90
Completed,0.04,38,1898,0,46,1267,63
Completed,0.04,51,1543,11,294,820,101
Completed,0.06,79,1692,8,431,1221,203
Completed,0.04,12,1926,19,21,1781,393
Completed,0.04,19,1451,7,110,1311,315
Completed,0.04,69,1725,10,379,1707,279
Completed,0.04,39,1431,1,402,742,104
Completed,0.04,14,1644,15,103,271,54
Completed,0.06,265,1115,8,240,702,5
Completed,0.04,33,1792,19,232,1724,363
Completed,0.04,30,964,19,323,582,95
Completed,0.04,66,1929,7,394,1631,236
Completed,0.04,30,1287,1,348,810,136
Completed,0.04,37,1758,1,211,1207,158
Completed,0.06,39,1675,12,459,628,133
Completed,0.04,119,1987,7,290,1461,36
Completed,0.04,25,1016,6,142,340,29
Completed,0.05,54,1512,13,343,871,109
Completed,0.05,105,1290,17,441,1003,40
Completed,0.04,28,1801,3,13,1535,89
Completed,0.05,37,1909,17,338,1023,151
Completed,0.04,42,952,10,378,191,12
Completed,0.08,12,1812,9,36,1113,274
Completed,0.04,174,1735,15,200,1472,21
Completed,0.04,75,1824,4,453,925,51
Completed,0.04,29,1875,4,346,1537,321
Completed,0.08,19,1988,9,137,470,98
Completed,0.04,70,1349,3,120,1089,26
Completed,0.05,43,1217,13,368,514,62
Completed,0.04,30,1388,16,233,998,173
Completed,0.06,17,1777,12,31,1568,198
Completed,0.04,57,3040,7,370,992,95
Completed,0.04,13,1006,16,55,504,74
Completed,0.04,39,1941,4,151,1883,147
Completed,0.04,12,1672,15,27,1595,381
Completed,0.05,43,1461,17,335,1414,223
Completed,0.04,254,1565,10,260,1503,11
Completed,0.06,37,1092,12,194,1035,118
Completed,0.04,27,1869,20,90,840,62
Completed,0.04,27,1350,2,395,371,76
Completed,0.06,32,1408,8,173,626,51
Completed,0.04,2507,1746,15,450,704,160
Completed,0.04,39,1630,0,45,1493,114
Completed,0.04,21,1038,3,282,761,172
Completed,0.04,35,1753,6,436,1113,228
Completed,0.04,22,1615,2,181,1082,180
Completed,0.04,16,1698,18,120,126,17
Completed,0.06,42,1210,5,427,657,97
Completed,0.04,125,3475,18,299,1380,29
Completed,0.06,35,1689,14,243,1024,225
Completed,0.04,19,1475,16,104,844,159
Completed,0.04,19,1163,20,218,266,63
Completed,0.04,51,1683,2,268,798,50
Completed,0.04,60,1405,10,388,1071,115
Completed,0.06,254,1878,12,67,1601,8
Completed,0.04,29,710,11,237,684,129
Completed,0.05,88,1974,17,377,1625,112
Completed,0.06,39,1189,14,278,493,53
Completed,0.04,43,1716,6,207,961,71
Completed,0.04,1458,1494,4,77,1157,1
Completed,0.04,87,828,16,346,804,31
Completed,0.04,46,1376,10,415,884,211
Completed,0.04,56,1661,18,303,1235,141
Completed,0.04,19,1584,7,39,1143,278
Completed,0.05,187,1783,13,162,1370,13
Completed,0.04,23,4447,6,1,1535,81
Completed,0.04,42,1304,3,477,941,135
Completed,0.04,50,1519,7,370,1183,201
Completed,0.04,26,1849,0,125,1152,154
Completed,0.06,26,1064,8,221,973,214
Completed,0.04,38,1444,3,362,602,69
Completed,0.04,35,1898,15,357,1243,268
Completed,0.06,64,1777,14,400,925,73
Completed,0.04,20,1250,6,85,394,56
Completed,0.05,16,1828,17,72,1752,359
Completed,0.04,38,1324,3,382,1283,279
Completed,0.06,46,774,8,434,711,140
Completed,0.06,1331,1721,5,484,1266,2
Completed,0.08,87,1908,9,340,1843,223
Completed,0.06,36,1436,12,145,1313,143
Completed,0.04,71,1095,11,495,730,62
Completed,0.04,68,1817,19,352,1394,119
Completed,0.04,31,2636,4,239,354,32
Completed,0.04,58,1228,3,134,1102,37
Completed,0.06,18,1950,5,21,766,97
Completed,0.05,69,1454,13,464,298,17
Completed,0.04,53,1926,20,487,1055,177
Completed,0.04,63,1549,15,97,1425,41
Completed,0.04,30,1271,18,250,699,108
Completed,0.06,27,1760,5,298,231,28
Completed,0.04,56,976,10,296,872,66
Completed,0.05,34,1906,17,216,1665,410
Completed,0.05,26,496,13,220,340,48
Completed,0.04,153,1326,10,2,1230,92
Completed,0.06,158,1830,8,453,1698,47
Completed,0.04,25,1115,0,332,425,102
Completed,0.04,75,1603,18,154,894,26
Completed,0.04,76,1896,1,230,1298,80
Completed,0.08,43,1174,9,117,571,22
Completed,0.05,48,4154,13,444,702,110
