Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
Completed,0.72,49,1259,8,700,90,4
Completed,0.74,31,4966,2615,10,185,9
Completed,0.71,156,3162,1355,833,45,6
Completed,0.74,45,616,3768,399,199,1
Completed,0.75,23,1034,1899,204,231,3
Completed,0.72,134,2708,4464,512,13,8
Completed,0.73,47,4166,704,330,154,9
Completed,0.74,30,2092,3159,895,122,5
Completed,0.71,69,2417,1627,307,27,8
Completed,0.74,41,3866,4199,998,249,3
Completed,0.72,61,3009,439,164,108,1
Completed,0.73,42,711,2887,597,135,6
Completed,0.74,18,296,979,808,166,7
Completed,0.72,123,3467,3587,500,78,2
Completed,0.75,29,4660,2327,663,218,5
Completed,0.72,136,1578,4739,96,57,10
Completed,0.73,60,1769,2422,953,148,1
