Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
Failed,,,4193,2425,4809,0.771,0.5
Failed,,,916,3364,1352,0.255,0.0
Failed,,,1577,4716,780,0.519,0.0
Failed,,,2418,271,1513,0.695,0.0
Failed,,,2570,4336,4970,0.21,0.8
Failed,,,3961,1501,19,0.961,0.3
Failed,,,830,1020,372,0.162,0.1
Failed,,,4106,4456,3127,0.676,0.0
Failed,,,3037,2290,1848,0.433,0.0
Failed,,,1939,3225,4640,0.916,0.6
Failed,,,1413,1752,2638,0.873,0.9
Failed,,,3439,2687,1017,0.359,0.0
Failed,,,4869,483,3958,0.594,0.0
Failed,,,20,3917,2374,0.112,0.4
Failed,,,186,441,3378,0.984,0.0
Failed,,,4712,3880,625,0.47,0.5
Failed,,,3603,1710,4404,0.733,0.01
Failed,,,1254,2650,1610,0.25,0.0
Failed,,,2096,2405,1112,0.043,0.0
Failed,,,2872,3344,2734,0.557,0.3
Failed,,,4264,1135,2295,0.303,0.7
Failed,,,665,4575,3875,0.785,0.0
Failed,,,1734,926,4738,0.394,0.4
Failed,,,3135,4987,1281,0.877,0.0
Failed,,,4567,2157,3733,0.138,0.001
Failed,,,343,3716,235,0.654,0.8
Failed,,,3817,950,906,0.553,0.5
Failed,,,1155,4386,3072,0.039,0.0
Failed,,,700,1412,1205,0.323,0.9
Failed,,,4289,2977,2788,0.839,0.001
Failed,,,2869,182,2193,0.083,0.0
Failed,,,2082,4246,3812,0.568,0.4
Failed,,,1288,739,3314,0.642,0.1
Failed,,,17,2090,2545,0.531,0.0
Failed,,,4856,3650,964,0.015,0.2
Failed,,,3474,859,4060,0.751,0.8
Failed,,,1437,4920,2437,0.267,0.0
Failed,,,1932,146,436,0.442,0.0
Failed,,,3021,4205,3230,0.957,0.5
Failed,,,4140,1376,1794,0.214,0.01
Failed,,,853,2936,4547,0.698,0.0
Failed,,,1590,1623,4301,0.123,0.6
Failed,,,3304,2564,2172,0.606,0.0
Failed,,,4384,354,2847,0.348,0.0
Failed,,,472,3794,677,0.861,0.2
Failed,,,561,1762,2276,0.706,0.0
Failed,,,4473,2698,3899,0.191,0.5
Failed,,,3393,533,1115,0.95,0.01
Failed,,,1679,3967,2696,0.465,0.0
Failed,,,2471,1087,4385,0.258,0.0
Failed,,,2633,4523,1634,0.775,0.3
Failed,,,4054,2318,3381,0.023,0.8
Failed,,,1091,3253,588,0.507,0.0
Failed,,,1505,1951,838,0.174,0.4
