Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.41,31,3063,1537,0.797,0.736
Completed,0.32,11,712,4061,0.122,0.046
Completed,0.32,11,372,2431,0.337,0.198
Completed,0.36,23,3353,4945,0.519,0.522
Completed,0.44,29,4020,1024,0.23,0.395
Completed,0.34,16,2294,3539,0.907,0.823
Completed,0.39,22,2252,2191,0.608,0.684
Completed,0.32,12,3983,4715,0.284,0.097
Completed,0.32,11,3148,2269,0.08,0.269
Completed,0.32,13,499,4793,0.777,0.95
Completed,0.4,28,917,1386,0.554,0.79
Completed,0.4,22,2936,3901,0.364,0.491
Completed,0.37,22,4691,292,0.888,0.613
Completed,0.32,11,1417,2806,0.188,0.168
Completed,0.37,18,1774,2074,0.943,0.421
Completed,0.45,37,4423,4598,0.137,0.86
Completed,0.32,11,2579,668,0.612,0.238
Completed,0.42,26,1185,3192,0.311,0.543
Completed,0.45,27,231,330,0.026,0.695
Completed,0.32,11,3505,2845,0.835,0.024
Completed,0.45,32,4161,1737,0.421,0.896
Completed,0.32,11,2142,4251,0.721,0.323
Completed,0.41,26,2015,1576,0.164,0.577
Completed,0.32,12,4366,4101,0.978,0.143
Completed,0.4,25,3462,802,0.033,0.539
Completed,0.32,12,187,3288,0.856,0.243
Completed,0.32,11,1231,543,0.57,0.029
Completed,0.44,30,2625,3019,0.255,0.691
Completed,0.32,12,4380,1637,0.997,0.314
Completed,0.43,27,1730,4112,0.172,0.904
Completed,0.33,18,1463,1075,0.927,0.652
Completed,0.32,13,4736,3560,0.246,0.068
Completed,0.42,24,2893,2481,0.503,0.943
Completed,0.32,11,874,4967,0.326,0.275
Completed,0.46,29,545,1520,0.104,0.497
Completed,0.34,16,3193,3996,0.788,0.783
Completed,0.32,11,3850,114,0.467,0.158
Completed,0.39,21,2455,2589,0.643,0.624
Completed,0.32,11,2499,1175,0.473,0.078
Completed,0.36,19,3893,3699,0.664,0.64
Completed,0.32,12,3320,1358,0.346,0.038
Completed,0.34,26,340,3843,0.546,0.743
