Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.73,1,2225,3514,0.781,0.053
Completed,0.72,1,4793,121,0.02,0.676
Completed,0.73,1,2538,4580,0.709,0.252
Completed,0.73,1,106,1870,0.472,0.875
Completed,0.73,1,358,2838,0.666,0.732
Completed,0.73,1,2947,714,0.404,0.106
Completed,0.73,1,4421,3923,0.841,0.962
Completed,0.73,1,2010,2444,0.103,0.337
Completed,0.73,1,1464,4848,0.34,0.444
Completed,0.73,2,4031,1523,0.602,0.819
Completed,0.73,1,3652,3159,0.167,0.237
Completed,0.73,1,1219,400,0.905,0.613
Completed,0.73,1,1029,3402,0.41,0.282
Completed,0.73,1,3441,545,0.64,0.907
Completed,0.73,1,3842,4839,0.082,0.021
Completed,0.73,1,1253,1299,0.85,0.646
Completed,0.73,1,2111,3893,0.58,0.511
Completed,0.73,1,4544,2238,0.35,0.136
Completed,0.73,1,3049,3103,0.911,0.811
Completed,0.73,1,481,842,0.142,0.436
Completed,0.73,1,307,4491,0.961,0.207
Completed,0.73,1,2718,1566,0.23,0.58
Completed,0.73,1,4994,3681,0.546,0.477
Completed,0.73,1,2405,190,0.276,0.849
Completed,0.73,2,1701,2745,0.045,0.992
Completed,0.73,1,4134,1119,0.776,0.369
Completed,0.73,1,3264,4163,0.462,0.7
Completed,0.73,1,696,1892,0.732,0.076
Completed,0.73,1,663,4535,0.488,0.59
Completed,0.73,1,3231,1834,0.687,0.217
Completed,0.74,2,4100,3472,0.004,0.851
Completed,0.73,1,1668,88,0.803,0.478
Completed,0.73,1,2370,2526,0.502,0.367
Completed,0.73,1,4959,1027,0.303,0.99
Completed,0.73,1,2683,4235,0.989,0.066
Completed,0.73,1,271,2131,0.189,0.69
Completed,0.73,1,526,3202,0.883,0.921
Completed,0.73,1,3094,433,0.184,0.296
Completed,0.73,1,4589,4892,0.624,0.652
Completed,0.73,1,2157,1557,0.323,0.026
Completed,0.73,1,1296,3956,0.123,0.13
Completed,0.73,1,3885,2486,0.822,0.505
Completed,0.73,1,3483,2874,0.384,0.423
Completed,0.73,2,1072,759,0.685,0.797
Completed,0.73,1,1174,3058,0.132,0.097
Completed,0.73,1,3606,807,0.923,0.722
Completed,0.73,1,3987,3850,0.361,0.335
Completed,0.73,2,1419,2204,0.567,0.96
