Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.53,9270,388,0.897,0.799,3572,4505,3909
Completed,0.54,5075,2153,0.039,0.223,1052,1548,269
Completed,0.54,11597,2511,0.418,0.616,4896,1679,2464
Completed,0.52,4967,216,0.783,0.966,2352,1259,2907
Completed,0.53,7219,2281,0.475,0.36,4322,722,4187
Completed,0.52,6010,2224,0.763,0.101,2760,3913,4601
Completed,0.53,7844,276,0.447,0.698,790,3376,3302
Completed,0.55,14291,761,0.686,0.773,499,2903,4138
Completed,0.54,14172,515,0.968,0.332,1502,462,2731
Completed,0.53,4141,2094,0.7,0.49,1990,3196,939
Completed,0.54,10054,409,0.011,0.835,3770,3890,2238
Completed,0.58,3094,14,0.531,0.189,3212,2431,1570
Completed,0.55,8321,2489,0.215,0.607,26,488,369
Completed,0.54,10785,2473,0.732,0.215,3811,2833,3981
Completed,0.56,2501,27,0.041,0.611,1997,4795,2682
Completed,0.55,11078,449,0.508,0.059,2767,3232,2308
Completed,0.54,3128,2055,0.2,0.646,792,3789,1029
Completed,0.54,12636,541,0.478,0.97,2787,3092,1617
Completed,0.54,12145,2586,0.366,0.454,2048,951,3027
Completed,0.56,14046,2816,0.843,0.572,242,2732,3598
Completed,0.53,8624,311,0.999,0.12,4574,728,2189
Completed,0.53,6407,2191,0.309,0.71,1544,1284,988
Completed,0.54,8621,2290,0.953,0.938,606,3382,300
Completed,0.53,6254,214,0.271,0.356,3636,3938,1521
Completed,0.55,11032,2530,0.903,0.195,1111,4298,3265
Completed,0.55,13780,600,0.752,0.738,4350,2245,2170
Completed,0.53,5544,2184,0.516,0.58,4836,3884,4157
Completed,0.53,7583,313,0.208,0.25,1616,3171,2936
Completed,0.53,3663,84,0.69,0.85,1060,491,3526
Completed,0.54,10360,2413,0.007,0.448,2874,2454,4805
Completed,0.53,10215,2350,0.818,0.507,2334,1122,3288
Completed,0.53,10924,2419,0.949,0.432,1942,4696,4337
Completed,0.54,2338,66,0.548,0.937,3707,3108,4958
Completed,0.53,4308,2111,0.332,0.406,391,2542,2708
Completed,0.53,13506,575,0.065,0.307,1148,1058,963
Completed,0.53,4180,179,0.586,0.657,1842,2761,382
Completed,0.53,7984,2323,0.145,0.013,4911,4567,1583
Completed,0.54,6585,2266,0.618,0.276,3348,107,2127
Completed,0.52,5230,240,0.185,0.928,279,1913,906
Completed,0.54,11952,479,0.666,0.047,2086,4268,246
Completed,0.56,2602,2027,0.109,0.628,4061,3712,1525
Completed,0.55,2986,2052,0.929,0.135,1328,2163,3581
Completed,0.53,10557,446,0.372,0.536,4509,200,4801
Completed,0.54,3153,50,0.854,0.434,2546,3463,4200
Completed,0.54,13505,2447,0.421,0.767,772,4176,2920
Completed,0.55,12028,2451,0.713,0.265,1486,2394,438
Completed,0.54,3135,53,0.031,0.909,4555,587,1659
Completed,0.54,6984,2265,0.25,0.252,1336,3273,2438
Completed,0.53,8026,2429,0.54,0.723,2505,2119,3321
Completed,0.57,2342,2022,0.775,0.155,3216,338,4023
Completed,0.55,8146,475,0.467,0.547,35,2301,2803
Completed,0.53,4617,142,0.385,0.533,4768,2456,4229
Completed,0.55,12781,2664,0.262,0.493,1822,4506,736
Completed,0.55,10467,2497,0.116,0.091,835,367,4917
Completed,0.53,8952,2197,0.656,0.935,4665,4243,888
Completed,0.52,5883,175,0.84,0.442,948,3561,287
Completed,0.53,6659,356,0.005,0.802,1714,1005,1148
Completed,0.55,13352,683,0.605,0.622,2452,602,1784
Completed,0.54,4542,2083,0.492,0.325,2678,1799,498
Completed,0.52,5157,2164,0.565,0.17,3766,3726,1188
Completed,0.54,11990,434,0.935,0.71,594,4098,607
Completed,0.54,8340,253,0.226,0.037,2376,1658,843
Completed,0.53,7605,2273,0.277,0.593,3263,1165,173
Completed,0.55,3140,2043,0.218,0.214,3488,2578,3314
Completed,0.53,4885,2120,0.847,0.308,4908,1902,2736
Completed,0.55,13296,499,0.353,0.3,4259,512,3943
Completed,0.56,14027,809,0.75,0.118,4692,1086,3286
Completed,0.54,12043,509,0.803,0.887,2199,1964,2977
Completed,0.57,1955,17,0.109,0.375,455,4408,3368
Completed,0.53,12912,2350,0.394,0.755,3944,2790,2807
Completed,0.53,7892,2343,0.817,0.22,264,1351,1747
Completed,0.54,8116,303,0.68,0.651,4125,828,2396
Completed,0.55,9773,423,0.47,0.102,3534,3428,1537
Completed,0.53,5263,2134,0.029,0.518,2076,3751,2138
Completed,0.55,3364,2054,0.913,0.987,696,678,1422
Completed,0.54,14284,653,0.051,0.191,4200,1884,214
