Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.57,3,3870,80,4.006,3,0.435
Completed,0.57,3,5000,160,10.0,5,0.999
Completed,0.57,8,4656,164,0.001,17,0.674
Completed,0.57,3,5000,156,0.001,6,0.999
Completed,0.57,4,4206,81,0.001,7,0.999
Completed,0.57,12,4994,158,0.001,18,0.73
Completed,0.57,2,4997,133,0.001,1,0.397
Completed,0.57,3,3620,93,0.001,1,0.001
Completed,0.57,29,4687,169,0.001,20,0.995
Completed,0.57,25,4818,159,0.001,20,0.952
Completed,0.56,10,4602,51,0.001,16,0.388
Completed,0.57,4,4210,149,0.001,18,0.756
Completed,0.55,0,4991,3703,7.44,8,0.076
Completed,0.55,0,2145,1181,3.4,17,0.585
Completed,0.55,0,3195,3859,4.201,13,0.407
Completed,0.55,0,960,1337,5.115,2,0.932
Completed,0.55,1,3111,983,0.001,1,0.952
Completed,0.57,6,4086,157,5.925,3,0.89
Completed,0.56,9,5000,57,0.001,20,0.999
Completed,0.56,14,4928,174,10.0,19,0.999
Completed,0.57,25,4986,169,0.001,17,0.82
Completed,0.58,23,5000,101,10.0,4,0.001
Completed,0.55,0,2312,4347,6.541,17,0.82
Completed,0.55,1729,143,717,2.615,9,0.54
Completed,0.55,0,4995,2552,9.084,12,0.038
Completed,0.55,0,2010,3456,7.879,2,0.513
Completed,0.55,0,469,1462,1.727,15,0.855
Completed,0.55,0,4670,4629,5.247,7,0.347
Completed,0.55,0,4497,1321,3.216,17,0.74
Completed,0.55,0,602,4487,9.695,4,0.244
Completed,0.55,3,2186,617,1.16,11,0.399
Completed,0.55,0,2953,3628,7.18,9,0.897
Completed,0.55,0,3564,1170,7.789,6,0.76
Completed,0.55,0,1535,3083,4.259,14,0.254
Completed,0.55,0,1243,2031,5.333,1,0.1
Completed,0.55,0,3895,3785,1.364,18,0.604
Completed,0.56,19,4354,15,5.944,15,0.182
Completed,0.55,0,745,3261,1.965,8,0.676
Completed,0.55,0,1701,1813,8.429,20,0.957
Completed,0.55,0,3437,4901,4.909,2,0.465
Completed,0.55,0,2787,2359,0.511,5,0.32
Completed,0.55,0,2382,2641,1.451,5,0.94
Completed,0.55,0,176,2444,7.525,13,0.658
Completed,0.55,0,4688,4280,4.171,10,0.17
Completed,0.55,1,4816,899,2.367,1,0.925
Completed,0.55,0,283,2731,5.897,19,0.434
Completed,0.55,0,2489,2226,4.51,7,0.217
Completed,0.55,0,2649,4216,8.479,14,0.705
Completed,0.55,0,3259,1671,6.63,11,0.576
Completed,0.55,0,1841,4760,0.151,8,0.065
Completed,0.56,542,921,188,8.998,16,0.283
Completed,0.55,0,4217,3431,2.978,3,0.796
Completed,0.55,0,4031,2161,9.648,10,0.499
Completed,0.55,0,1068,3918,3.618,13,0.984
Completed,0.55,7,1401,991,7.231,5,0.642
Completed,0.55,0,3737,2901,0.762,18,0.156
Completed,0.55,1195,3089,447,3.9,20,0.004
Completed,0.55,0,2058,4558,2.969,20,0.631
Completed,0.55,317,474,380,6.817,7,0.975
Completed,0.55,0,4390,3541,0.162,15,0.477
Completed,0.55,106,4561,511,8.126,3,0.623
Completed,0.55,0,342,3674,4.781,16,0.113
Completed,0.55,0,1884,1372,6.246,8,0.269
Completed,0.55,0,2980,4376,2.091,11,0.777
Completed,0.55,0,3628,1922,2.702,14,0.875
Completed,0.55,0,1275,3837,9.347,6,0.39
Completed,0.55,0,941,1217,0.423,19,0.233
Completed,0.55,0,3923,2979,6.276,1,0.72
Completed,0.55,0,4089,1748,1.033,7,0.049
Completed,0.55,0,814,4987,6.877,14,0.561
Completed,0.58,3,1733,107,3.342,2,0.843
