Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Failed,,,1090,25,0.999,0.999,401,EDFSMode.RANDOM
Failed,,,211,100,0.308,0.999,266,EDFSMode.RANDOM
Failed,,,3574,67,0.825,0.001,561,EDFSMode.RANDOM
Failed,,,967,30,0.965,0.999,1000,EDFSMode.RANDOM
Failed,,,4173,42,0.905,0.999,228,EDFSMode.RANDOM
Failed,,,482,52,0.58,0.001,445,EDFSMode.RANDOM
Failed,,,4113,49,0.51,0.001,704,EDFSMode.RANDOM
Failed,,,4233,42,0.662,0.999,100,EDFSMode.RANDOM
Failed,,,1163,73,0.503,0.999,100,EDFSMode.RANDOM
Failed,,,1387,80,0.361,0.001,1000,EDFSMode.RANDOM
Failed,,,4707,68,0.675,0.001,1000,EDFSMode.RANDOM
Failed,,,947,25,0.999,0.999,100,EDFSMode.RANDOM
Failed,,,1123,41,0.664,0.999,1000,EDFSMode.RANDOM
Failed,,,566,97,0.253,0.112,726,EDFSMode.RANDOM
Failed,,,4171,52,0.307,0.001,100,EDFSMode.RANDOM
Failed,,,4293,33,0.822,0.999,1000,EDFSMode.RANDOM
Failed,,,4556,81,0.878,0.999,1000,EDFSMode.RANDOM
Failed,,,3611,67,0.682,0.483,222,EDFSMode.RANDOM
Failed,,,896,12,0.999,0.999,248,EDFSMode.RANDOM
Failed,,,5000,65,0.891,0.001,444,EDFSMode.RANDOM
Failed,,,1384,56,0.418,0.001,825,EDFSMode.RANDOM
Failed,,,4253,62,0.578,0.001,118,EDFSMode.RANDOM
Failed,,,1917,87,0.831,0.999,1000,EDFSMode.RANDOM
Failed,,,1209,76,0.787,0.001,569,EDFSMode.RANDOM
Failed,,,1319,61,0.679,0.001,100,EDFSMode.RANDOM
Failed,,,416,70,0.509,0.999,1000,EDFSMode.RANDOM
Failed,,,4456,39,0.23,0.999,100,EDFSMode.RANDOM
Failed,,,4087,52,0.684,0.999,702,EDFSMode.RANDOM
Failed,,,378,83,0.874,0.999,182,EDFSMode.RANDOM
Failed,,,3924,62,0.613,0.275,100,EDFSMode.RANDOM
Failed,,,640,49,0.993,0.001,1000,EDFSMode.RANDOM
Failed,,,1140,80,0.999,0.817,381,EDFSMode.RANDOM
Failed,,,4156,43,0.999,0.999,100,EDFSMode.RANDOM
Failed,,,3319,37,0.805,0.001,1000,EDFSMode.RANDOM
Failed,,,3285,66,0.999,0.001,1000,EDFSMode.RANDOM
Failed,,,3922,66,0.731,0.999,708,EDFSMode.RANDOM
Failed,,,405,64,0.741,0.001,1000,EDFSMode.RANDOM
Failed,,,1477,57,0.668,0.999,100,EDFSMode.RANDOM
Failed,,,4341,89,0.447,0.999,1000,EDFSMode.RANDOM
Failed,,,4602,54,0.56,0.999,1000,EDFSMode.RANDOM
Failed,,,964,23,0.997,0.999,491,EDFSMode.RANDOM
Failed,,,508,91,0.453,0.001,1000,EDFSMode.RANDOM
Failed,,,342,83,0.81,0.999,299,EDFSMode.RANDOM
Failed,,,1617,56,0.419,0.999,714,EDFSMode.RANDOM
Failed,,,380,61,0.506,0.001,1000,EDFSMode.RANDOM
Failed,,,2092,86,0.999,0.999,185,EDFSMode.RANDOM
Failed,,,4641,100,0.69,0.001,875,EDFSMode.RANDOM
Failed,,,3415,85,0.805,0.999,486,EDFSMode.RANDOM
Failed,,,1741,93,0.922,0.778,1000,EDFSMode.RANDOM
Failed,,,613,100,0.825,0.001,1000,EDFSMode.RANDOM
Failed,,,1638,68,0.659,0.999,937,EDFSMode.RANDOM
Failed,,,2579,16,0.999,0.999,1000,EDFSMode.RANDOM
Failed,,,1502,81,0.47,0.001,100,EDFSMode.RANDOM
Failed,,,658,93,0.848,0.001,101,EDFSMode.RANDOM
Failed,,,1581,46,0.954,0.999,1000,EDFSMode.RANDOM
Failed,,,4515,93,0.999,0.001,1000,EDFSMode.RANDOM
Failed,,,3502,89,0.966,0.001,100,EDFSMode.RANDOM
Failed,,,3924,39,0.999,0.001,610,EDFSMode.RANDOM
Failed,,,4525,100,0.953,0.001,100,EDFSMode.RANDOM
Failed,,,2551,100,0.328,0.999,457,EDFSMode.RANDOM
Failed,,,1666,60,0.999,0.001,100,EDFSMode.RANDOM
Failed,,,3253,70,0.912,0.999,1000,EDFSMode.RANDOM
Failed,,,3317,100,0.537,0.173,100,EDFSMode.RANDOM
Failed,,,4823,92,0.697,0.999,1000,EDFSMode.RANDOM
Failed,,,650,33,0.872,0.001,438,EDFSMode.RANDOM
Failed,,,1102,98,0.83,0.999,100,EDFSMode.RANDOM
Failed,,,838,20,0.987,0.999,100,EDFSMode.RANDOM
Failed,,,1634,100,0.726,0.837,441,EDFSMode.RANDOM
Failed,,,4298,78,0.999,0.999,842,EDFSMode.RANDOM
Failed,,,4327,45,0.873,0.999,100,EDFSMode.RANDOM
Failed,,,1470,75,0.716,0.001,100,EDFSMode.RANDOM
Failed,,,4850,100,0.434,0.999,1000,EDFSMode.RANDOM
Failed,,,4778,41,0.891,0.001,841,EDFSMode.RANDOM
Failed,,,3578,86,0.644,0.819,609,EDFSMode.RANDOM
Failed,,,1107,3,0.956,0.999,180,EDFSMode.RANDOM
Failed,,,2629,98,0.595,0.178,917,EDFSMode.RANDOM
Failed,,,1769,65,0.874,0.999,899,EDFSMode.RANDOM
Failed,,,4408,15,0.916,0.001,100,EDFSMode.RANDOM
Failed,,,699,100,0.865,0.001,756,EDFSMode.RANDOM
Failed,,,4167,100,0.337,0.001,915,EDFSMode.RANDOM
Failed,,,1584,100,0.594,0.001,1000,EDFSMode.RANDOM
Failed,,,3001,60,0.734,0.999,100,EDFSMode.RANDOM
Failed,,,1338,43,0.999,0.999,1000,EDFSMode.RANDOM
Failed,,,3033,100,0.533,0.999,266,EDFSMode.RANDOM
Failed,,,1627,78,0.394,0.999,792,EDFSMode.RANDOM
Failed,,,4775,100,0.194,0.001,100,EDFSMode.RANDOM
Failed,,,3270,11,0.908,0.999,882,EDFSMode.RANDOM
Failed,,,1473,100,0.577,0.001,175,EDFSMode.RANDOM
Failed,,,1457,33,0.925,0.999,1000,EDFSMode.RANDOM
Failed,,,4030,35,0.999,0.999,100,EDFSMode.RANDOM
Failed,,,1481,40,0.999,0.001,100,EDFSMode.RANDOM
Failed,,,1798,70,0.573,0.999,100,EDFSMode.RANDOM
Failed,,,3695,64,0.768,0.001,797,EDFSMode.RANDOM
Failed,,,1704,40,0.785,0.001,983,EDFSMode.RANDOM
Failed,,,4512,61,0.552,0.001,100,EDFSMode.RANDOM
Failed,,,4905,69,0.369,0.999,290,EDFSMode.RANDOM
Failed,,,3270,81,0.809,0.001,887,EDFSMode.RANDOM
Failed,,,4686,76,0.645,0.999,1000,EDFSMode.RANDOM
Failed,,,1837,66,0.972,0.999,217,EDFSMode.RANDOM
Failed,,,2742,63,0.781,0.999,1000,EDFSMode.RANDOM
Failed,,,2384,100,0.442,0.999,322,EDFSMode.RANDOM
Failed,,,4490,58,0.956,0.001,100,EDFSMode.RANDOM
Failed,,,4196,89,0.463,0.999,100,EDFSMode.RANDOM
Failed,,,4348,71,0.802,0.999,738,EDFSMode.RANDOM
Failed,,,4175,51,0.999,0.001,100,EDFSMode.RANDOM
Failed,,,609,42,0.858,0.731,1000,EDFSMode.RANDOM
Failed,,,2017,70,0.435,0.999,681,EDFSMode.RANDOM
Failed,,,4774,64,0.999,0.001,921,EDFSMode.RANDOM
Failed,,,703,35,0.796,0.001,932,EDFSMode.RANDOM
Failed,,,664,54,0.812,0.001,1000,EDFSMode.RANDOM
Failed,,,4438,81,0.749,0.999,1000,EDFSMode.RANDOM
Failed,,,1431,97,0.786,0.999,100,EDFSMode.RANDOM
Failed,,,2446,81,0.999,0.999,303,EDFSMode.RANDOM
Failed,,,3138,75,0.999,0.999,100,EDFSMode.RANDOM
Failed,,,4564,80,0.468,0.001,937,EDFSMode.RANDOM
Failed,,,5000,59,0.277,0.001,145,EDFSMode.RANDOM
Failed,,,1551,67,0.542,0.001,100,EDFSMode.RANDOM
Failed,,,3313,28,0.999,0.999,601,EDFSMode.RANDOM
Failed,,,4778,100,0.274,0.999,200,EDFSMode.RANDOM
Failed,,,4629,85,0.905,0.913,100,EDFSMode.RANDOM
Failed,,,3366,60,0.543,0.001,861,EDFSMode.RANDOM
Failed,,,252,56,0.999,0.999,100,EDFSMode.RANDOM
Failed,,,1784,1,0.898,0.863,1000,EDFSMode.RANDOM
