Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.73,27,3716,759,1,0.599
Completed,0.73,39,676,273,1,0.001
Completed,0.72,16,3885,1059,1,0.666
Completed,0.72,32,4819,502,10,0.883
Completed,0.71,11,3749,1077,1,0.999
Completed,0.74,35,463,99,10,0.256
Completed,0.73,60,967,319,10,0.001
Completed,0.72,23,1258,708,10,0.585
Completed,0.73,55,4573,237,1,0.27
Completed,0.73,60,3797,199,10,0.999
Completed,0.73,19,1207,541,1,0.999
Completed,0.74,18,1206,612,1,0.999
Completed,0.72,22,4999,1480,1,0.564
Completed,0.73,16,2408,159,1,0.999
Completed,0.68,14,1379,2321,10,0.448
Completed,0.68,47,1689,2770,10,0.999
Completed,0.72,47,5000,607,10,0.487
Completed,0.69,9,5000,2361,10,0.999
Completed,0.69,3,614,4869,1,0.999
Completed,0.72,35,4909,2243,10,0.645
Completed,0.71,42,5000,2794,1,0.999
Completed,0.72,45,4973,1851,10,0.6
Completed,0.72,18,919,753,1,0.584
Completed,0.7,32,4697,2178,1,0.999
Completed,0.72,32,3943,1655,1,0.688
Completed,0.71,243,3858,3610,10,0.001
Completed,0.7,52,1377,2198,10,0.572
Completed,0.72,35,5000,4274,1,0.999
Completed,0.69,9,1638,1945,1,0.57
Completed,0.71,10,932,950,1,0.999
Completed,0.7,47,2224,2678,1,0.727
Completed,0.67,175,3631,3847,1,0.001
Completed,0.73,11,1010,1051,1,0.999
Completed,0.73,45,5000,1071,1,0.394
Completed,0.73,13,1142,1552,1,0.565
Completed,0.68,47,4964,2759,1,0.768
Completed,0.68,336,383,2946,1,0.001
Completed,0.74,18,4349,1618,10,0.883
Completed,0.7,21,5000,2423,1,0.999
Completed,0.73,11,3894,1488,1,0.999
Completed,0.7,52,5000,4157,1,0.999
Completed,0.72,29,4731,1824,10,0.84
Completed,0.73,13,3864,1564,10,0.999
Completed,0.73,16,5000,2263,1,0.687
Completed,0.72,34,4227,1464,10,0.729
Completed,0.73,51,5000,1050,10,0.461
Completed,0.71,28,940,759,10,0.999
Completed,0.72,35,787,652,10,0.826
Completed,0.71,14,5000,1860,1,0.555
