Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.9,1427,975,800,8,0.692
Completed,0.9,463,800,1474,1,0.999
Completed,0.89,471,344,622,1,0.999
Completed,0.89,452,406,705,1,0.894
Completed,0.9,1110,4682,2032,1,0.899
Completed,0.92,3379,4706,1592,10,0.726
Completed,0.88,874,1852,3096,1,0.999
Completed,0.9,733,4017,2032,1,0.928
Completed,0.92,1221,956,225,3,0.869
Completed,0.92,1613,3429,690,3,0.57
Completed,0.91,430,534,708,1,0.999
Completed,0.92,822,1232,793,2,0.93
Completed,0.89,1458,638,846,7,0.837
Completed,0.92,949,4440,1338,1,0.999
Completed,0.93,869,752,318,1,0.11
Completed,0.89,959,4760,2520,1,0.999
Completed,0.9,473,522,639,1,0.921
Completed,0.92,542,4939,858,1,0.999
Completed,0.88,520,370,695,1,0.999
Completed,0.91,489,595,604,1,0.882
Completed,0.92,966,4186,474,1,0.821
Completed,0.91,613,863,728,1,0.999
Completed,0.92,876,4759,483,2,0.999
Completed,0.9,580,617,627,1,0.758
Completed,0.9,789,1842,2005,1,0.999
Completed,0.93,838,1013,472,1,0.999
Completed,0.92,667,4814,1044,1,0.999
Completed,0.88,957,3887,2552,1,0.913
Completed,0.93,715,373,162,1,0.994
Completed,0.92,1179,4478,1465,2,0.999
Completed,0.88,1699,4604,3214,1,0.497
Completed,0.87,939,1856,3338,2,0.999
Completed,0.93,670,4168,808,3,0.999
Completed,0.92,1284,1021,187,1,0.922
Completed,0.83,528,175,705,1,0.999
Completed,0.85,433,658,1798,1,0.999
Completed,0.9,721,451,595,2,0.951
Completed,0.91,1873,298,43,1,0.951
Completed,0.9,1159,4127,2827,2,0.999
Completed,0.92,751,1235,684,1,0.864
Completed,0.91,721,954,670,1,0.949
Completed,0.92,753,1020,615,1,0.999
Completed,0.93,905,4864,803,2,0.999
Completed,0.91,665,3415,1714,1,0.999
Completed,0.92,1686,4838,941,2,0.846
Completed,0.91,424,1633,1542,1,0.999
