Status,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
Completed,0.91,0,3005,4686,2114,0.15
Completed,0.91,0,4957,566,3053,0.647
Completed,0.91,0,937,3010,1176,0.287
Completed,0.91,0,163,682,1297,0.45
Completed,0.91,0,4268,3205,4418,0.623
Completed,0.91,0,3720,1703,359,0.111
Completed,0.91,0,2117,4098,3480,0.939
Completed,0.91,0,2218,81,306,0.518
Completed,0.91,0,3198,2558,3435,0.407
Completed,0.91,0,3900,2225,1868,0.919
Completed,0.91,0,423,4828,4997,0.029
Completed,0.91,0,980,1559,2534,0.24
Completed,0.91,0,4377,3929,661,0.818
Completed,0.91,0,2579,1135,4096,0.322
Completed,0.91,0,1684,3690,2223,0.744
Completed,0.91,0,1565,1369,1053,0.965
Completed,0.91,1,2542,3770,2924,0.108
Completed,0.91,0,4497,1013,1989,0.595
Completed,0.91,0,1017,3540,3861,0.456
Completed,0.91,0,386,269,3669,0.306
Completed,0.91,0,3781,2719,542,0.633
Completed,0.91,0,3235,2345,4605,0.131
Completed,0.91,0,2338,4980,1479,0.801
Completed,0.91,0,2080,845,4810,0.723
Completed,0.91,0,3600,3396,1686,0.334
Completed,0.91,0,4304,1856,3247,0.836
Completed,0.91,0,282,4221,123,0.228
Completed,0.91,0,818,1894,2347,0.003
Completed,0.91,0,4920,4493,4226,0.923
Completed,0.91,0,3125,414,784,0.436
Completed,0.91,0,1520,2887,2663,0.513
Completed,0.91,0,1269,522,1763,0.184
Completed,0.91,0,2869,3054,4889,0.765
Completed,0.91,0,4821,2178,200,0.251
Completed,0.91,0,723,4562,3326,0.675
Completed,0.91,0,64,1591,4144,0.588
Completed,0.91,0,4091,4210,2273,0.476
Completed,0.91,0,3543,717,2581,0.975
Completed,0.91,0,2019,3169,710,0.082
Completed,0.91,0,2393,2336,3006,0.379
Completed,0.91,0,3295,4717,1127,0.554
Completed,0.91,0,3997,46,3943,0.055
Completed,0.91,0,598,2593,2064,0.885
Completed,0.91,0,1117,1177,465,0.847
Completed,0.91,0,4593,3647,3589,0.204
Completed,0.91,0,2795,1437,1402,0.718
Completed,0.91,0,1822,4052,4526,0.356
Completed,0.91,0,1843,2401,1503,0.56
Completed,0.91,0,2743,4923,4620,0.388
Completed,0.91,2,4541,297,567,0.876
Completed,0.91,0,1139,2691,3683,0.048
Completed,0.91,0,586,962,3807,0.212
Completed,0.91,0,4058,3591,1926,0.853
Completed,0.91,0,3357,1348,2870,0.349
Completed,0.91,0,2381,3791,989,0.709
Completed,0.91,0,1958,465,2795,0.756
Completed,0.91,0,3556,2836,926,0.178
Completed,0.91,0,4104,1915,4358,0.682
Completed,0.91,0,4,4472,2489,0.259
Completed,0.91,0,774,1799,21,0.47
Completed,0.91,0,4799,4277,3154,0.58
Completed,0.91,0,2847,817,1584,0.091
Completed,0.91,0,1320,3423,4717,0.982
Completed,0.91,0,1536,748,686,0.343
Completed,0.91,0,3058,3139,2567,0.73
Completed,0.91,0,4854,1632,2249,0.222
Completed,0.91,0,835,4169,4130,0.828
Completed,0.91,0,255,2140,3380,0.929
Completed,0.91,0,4361,4600,263,0.011
Completed,0.91,0,3656,476,4943,0.504
Completed,0.91,0,2053,3101,1826,0.429
Completed,0.91,0,2282,1473,4394,0.101
Completed,0.91,0,3262,4015,1261,0.957
Completed,0.91,0,3808,1225,3457,0.464
Completed,0.91,0,330,3599,324,0.602
