Status,ACCURACY,RUNTIME,recent_samples_size,delta
Completed,0.05,1367,721,0.518
Completed,0.04,1730,2178,0.063
Completed,0.06,1296,3157,0.869
Completed,0.05,1435,2706,0.166
Completed,0.03,915,1336,0.98
Completed,0.05,1710,312,0.439
Completed,0.05,1669,3772,0.63
Completed,0.07,1478,4189,0.104
Completed,0.05,1447,480,0.793
Completed,0.06,1379,1623,0.252
Completed,0.04,1453,3086,0.567
Completed,0.06,1670,3573,0.398
Completed,0.04,1668,2344,0.705
Completed,0.04,1213,1008,0.25
Completed,0.06,1444,4951,0.931
Completed,0.07,1429,4977,0.087
Completed,0.04,1095,943,0.779
Completed,0.04,1635,2416,0.298
Completed,0.05,1467,3541,0.614
Completed,0.06,1432,3093,0.413
Completed,0.05,1450,1578,0.721
Completed,0.04,1731,531,0.202
Completed,0.05,1474,4176,0.886
Completed,0.06,1286,3803,0.351
Completed,0.04,1553,242,0.534
Completed,0.16,2140,1403,0.015
Completed,0.04,1365,2679,0.823
Completed,0.04,980,3169,0.149
Completed,0.04,1792,2127,0.966
Completed,0.04,1610,768,0.485
Completed,0.05,1628,4564,0.677
Completed,0.06,1526,4445,0.449
Completed,0.05,1499,887,0.639
Completed,0.04,614,2011,0.161
Completed,0.05,1616,3284,0.974
Completed,0.05,1412,2560,0.053
Completed,0.05,1253,1522,0.859
Completed,0.04,2175,127,0.341
Completed,0.06,1705,3919,0.524
Completed,0.06,1328,4374,0.24
Completed,0.04,1267,333,0.921
Completed,0.06,1227,1769,0.404
Completed,0.04,1562,2900,0.711
Completed,0.06,1544,3739,0.262
Completed,0.05,1857,2218,0.577
Completed,0.06,1207,1135,0.098
Completed,0.05,1511,4785,0.787
Completed,0.07,1348,4753,0.287
Completed,0.05,2262,1206,0.594
Completed,0.05,1404,2309,0.076
Completed,0.04,1040,3609,0.758
Completed,0.05,1522,2888,0.214
Completed,0.06,1489,1821,0.904
Completed,0.04,1603,443,0.425
Completed,0.05,1577,4224,0.74
Completed,0.12,1810,4048,0.027
Completed,0.04,678,37,0.842
Completed,0.05,1632,1452,0.363
Completed,0.05,1513,2591,0.553
Completed,0.06,1358,3432,0.474
Completed,0.06,1470,1902,0.656
Completed,0.05,1589,836,0.139
Completed,0.05,1460,4456,0.945
Completed,0.06,1456,4650,0.179
Completed,0.05,1529,643,0.987
Completed,0.05,1172,2099,0.467
