Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.11,5480,958,53,0.087,106
Completed,0.24,655,259,90,0.368,1093
Completed,0.17,13,4089,37,0.848,3647
Completed,0.19,2687,3260,121,0.243,1627
Completed,0.17,15,2402,6,0.723,4339
Completed,0.28,127,2036,64,0.176,3187
Completed,0.17,12,3519,63,0.67,909
Completed,0.26,356,3820,99,0.301,3898
Completed,0.17,14,617,28,0.795,1462
Completed,0.17,14,699,115,0.514,2351
Completed,0.27,6846,4997,12,0.02,4786
Completed,0.17,12,2664,80,0.888,566
Completed,0.2,4103,1650,47,0.394,2845
Completed,0.17,13,1741,85,0.643,1802
Completed,0.23,1734,2598,42,0.141,4090
Completed,0.17,12,4741,118,0.768,1105
Completed,0.1,13,912,9,0.266,3551
Completed,0.19,1650,370,102,0.047,2643
Completed,0.25,571,4043,25,0.549,198
Completed,0.17,14,3619,69,0.421,4452
Completed,0.17,14,1980,58,0.923,2163
Completed,0.3,439,2336,124,0.473,382
Completed,0.17,13,3351,3,0.993,3103
Completed,0.17,14,3,32,0.619,4892
Completed,0.17,15,1180,79,0.837,3925
Completed,0.18,6454,4385,48,0.317,1361
Completed,0.17,17,2966,108,0.712,3367
Completed,0.3,6273,1482,19,0.193,645
Completed,0.17,14,1458,83,0.822,3592
Completed,0.22,641,2944,44,0.336,1147
Completed,0.17,14,4396,112,0.697,4127
Completed,0.26,5038,1193,15,0.211,1838
Completed,0.17,14,27,96,0.492,2121
Completed,0.17,14,4323,31,0.978,4411
Completed,0.17,14,2323,60,0.604,2606
Completed,0.21,6634,1957,122,0.06,4851
Completed,0.17,14,3598,5,0.532,2286
Completed,0.17,14,4053,89,0.434,3066
Completed,0.17,12,383,38,0.907,346
Completed,0.17,12,936,73,0.626,687
Completed,0.16,4535,4762,54,0.154,3408
Completed,0.17,13,2588,106,0.751,1397
Completed,0.17,14,1728,21,0.278,3963
Completed,0.15,5822,1662,111,0.529,142
Completed,0.16,3143,2678,16,0.002,2698
Completed,0.17,13,4974,76,0.903,1952
Completed,0.17,14,679,51,0.376,4663
Completed,0.25,661,605,92,0.158,4301
Completed,0.17,14,3807,35,0.685,1591
Completed,0.21,296,3542,127,0.282,3606
Completed,0.17,13,2057,0,0.81,1051
Completed,0.26,578,2413,70,0.355,1426
Completed,0.17,14,3274,57,0.865,3861
Completed,0.17,14,239,26,0.74,3146
Completed,0.17,14,947,117,0.958,2882
Completed,0.34,1611,4618,10,0.449,602
Completed,0.17,14,3044,86,0.584,4827
Completed,0.17,6299,1402,41,0.075,2393
Completed,0.18,2686,1314,114,0.417,985
Completed,0.17,16,3109,13,0.927,3736
Completed,0.17,15,1027,46,0.553,4289
Completed,0.11,15,172,65,0.771,4553
Completed,0.19,5555,4157,62,0.262,1959
Completed,0.17,14,3191,98,0.646,2769
Completed,0.22,2820,2490,29,0.137,18
Completed,0.17,14,2143,91,0.716,2459
Completed,0.19,2042,3471,36,0.189,4698
Completed,0.17,12,3870,120,0.841,497
Completed,0.18,393,509,7,0.314,2894
Completed,0.17,3611,748,104,0.096,3256
Completed,0.17,116,4890,23,0.623,859
Completed,0.17,14,2772,75,0.47,3790
Completed,0.17,13,1601,52,0.997,1551
Completed,0.29,1226,1809,78,0.247,2555
Completed,0.19,25,2511,49,0.719,306
Completed,0.17,15,4829,109,0.371,4501
Completed,0.17,13,843,18,0.844,2094
Completed,0.17,25,458,125,0.564,1752
Completed,0.22,6645,3975,2,0.091,4159
Completed,0.17,12,3688,94,0.938,1194
Completed,0.17,14,1892,33,0.465,3443
Completed,0.17,15,2229,103,0.885,4014
Completed,0.2,3189,3399,24,0.398,1253
Completed,0.17,15,4252,68,0.51,3317
Completed,0.34,629,111,59,0.024,714
Completed,0.28,3048,1132,84,0.305,431
Completed,0.17,14,4492,43,0.791,3035
Completed,0.17,3065,2858,119,0.18,2240
Completed,0.29,12,1531,8,0.667,5000
Completed,0.31,5938,1496,99,0.144,1326
Completed,0.17,14,2824,28,0.638,4034
Completed,0.36,4596,4517,64,0.269,771
Completed,0.17,14,1155,63,0.763,3324
Completed,0.17,14,145,80,0.545,2983
Completed,0.17,19,3375,115,0.919,4923
Completed,0.23,43,2204,12,0.425,2215
Completed,0.17,11,1916,74,0.973,243
Completed,0.17,14,3712,53,0.493,2525
Completed,0.17,13,3940,105,0.599,2047
Completed,0.21,821,424,22,0.119,4485
Completed,0.18,478,819,121,0.337,4201
Completed,0.17,15,4804,6,0.818,1764
Completed,0.24,1031,2545,90,0.212,3511
Completed,0.17,14,1844,37,0.693,1229
Completed,0.17,16,1626,95,0.442,4756
